US Election,GE11,GE12,GE13S,GE13,GE14,GE15
8118,13870,6047,21367,21367,10135,13195
203475,6246,12611,12954,12954,18909,383
152405,13870,8474,35232,35232,13836,32625
34974,6246,12611,26890,26890,4061,19869
13145,20472,8474,33198,33198,29170,18565
4025,10650,18078,25255,25255,17991,508
2634,21349,15326,33861,33861,6494,47098
3232,12892,19543,33251,33251,24672,21569
1177,25177,17597,45828,45828,19314,14599
709,10948,19823,35043,35043,10311,1154
9208,21324,18796,182,182,47041,236
2714,12177,18398,42984,42984,29541,113
2439,20474,16572,37860,37860,10003,12931
33033,7956,19355,31940,31940,32592,9885
24605,31956,10852,23727,23727,19360,7062
4885,9034,36262,35348,35348,7435,21637
10587,15725,9798,31406,31406,28080,19791
3785,8483,15868,384,384,15005,8190
2812,16021,9227,45525,45525,5373,784
22161,8670,16165,33219,33219,5093,614
8184,24633,10900,10506,10506,24581,598
5602,12026,21381,10044,10044,18431,35
4358,27144,18940,912,912,5361,49625
1148,10305,25134,308,308,35620,45889
1050,16714,12585,101,101,16251,28140
12498,12244,18051,14863,14863,11557,1115
3353,19359,14230,11394,11394,36188,57549
3237,10009,21308,303,303,32896,13661
2210,13826,10629,14863,14863,4880,8570
641,8478,12055,11394,11394,25467,63915
335,15337,10720,303,303,20841,7248
5591,7988,16069,23415,23415,6799,6815
1952,27807,11060,20601,20601,28152,378
1216,13324,23177,26544,26544,25223,60999
5857,17750,22979,22012,22012,4747,7163
2137,8742,16073,30584,30584,32307,6793
1852,22001,12253,23061,23061,30947,14380
4766,8339,18796,193,193,4896,10814
1127,36343,17934,25834,25834,26076,10356
1079,13117,30701,21319,21319,23252,204
5523,39870,27134,23747,23747,5695,46710
2518,26663,1332,16032,16032,21665,12739
607,33214,40334,272,272,15018,12724
4199,13482,33467,51278,51278,2078,17181
1092,26721,26995,15665,15665,28903,15026
850,12609,23319,19249,19249,20911,5063
45996,40937,25236,12774,12774,5173,275
33397,18160,22275,21575,21575,19426,30467
7131,34495,36124,15370,15370,15513,16137
9648,23215,34379,28267,28267,4997,12127
2773,21291,47444,27197,27197,34335,655
809,9409,26419,25947,25947,29736,55880
3874,9185,35079,25568,25568,6864,28732
1019,32941,22486,21669,21669,35020,18393
875,17481,35024,19526,19526,32218,633
9375,35054,28315,670,670,4740,18398
4269,13638,28598,30040,30040,37974,13334
2876,32422,22892,14926,14926,29527,12115
7399,19379,37851,16387,16387,4604,335
1863,32941,17879,14743,14743,42988,200
1732,17481,35024,18695,18695,28215,99
9518,32417,28315,18296,18296,15380,24897
2458,19007,33356,37403,37403,53749,19894
2231,44007,24042,33989,33989,31795,11693
4949,29419,48196,1105,1105,5138,539
1716,32138,35899,999,999,30925,25212
1215,18857,37990,20548,20548,28057,24849
60696,24376,20289,16154,16154,3364,20358
48610,16137,38630,340,340,40850,385
5387,3608,17879,27500,27500,27731,358
6062,34118,26687,27040,27040,6833,16578
2295,12623,25698,52287,52287,39878,16230
1613,30755,26381,34441,34441,37715,8822
12269,11918,21532,4152,4152,12911,226
4099,23282,35552,54827,54827,10307,33133
3499,21428,11704,50093,50093,9710,17964
7272,28718,29785,474,474,3587,12304
2461,17201,20330,41969,41969,680,793
926,23135,19637,28691,28691,81,25140
6730,12950,19487,48183,48183,13995,21599
2026,28061,25046,21454,21454,7426,20963
1427,11093,17314,2415,2415,6671,1032
11407,27757,25489,64127,64127,13995,609
2939,8088,17355,46860,46860,7426,328
1739,22910,17857,79238,79238,6671,65426
6009,11095,15885,37032,37032,20659,30633
1550,19103,26811,62938,62938,17500,7762
1357,18799,12534,30136,30136,7866,593
2846,1107,21728,66268,66268,22640,245
822,132,18833,39549,39549,16732,53933
412,26474,489,4454,4454,10877,15663
37979,11186,47230,460,460,28578,7356
26179,33197,10738,218,218,17628,451
7057,20302,39253,41062,41062,17515,358
5169,29056,10953,21846,21846,22807,41869
1707,17195,28123,1447,1447,14696,19256
1200,33223,25608,57407,57407,13667,16168
2533,15696,4038,12735,12735,19033,528
603,4086,1304,66268,66268,13291,107
323,540,19737,39549,39549,11776,91
46490,20650,8127,4454,4454,43854,44444
27242,5870,25294,460,460,18995,13727
3658,26360,12974,218,218,7662,6439
4938,9280,32970,49009,49009,103,543
1531,36542,29022,38070,38070,16064,37759
917,20306,20417,69849,69849,12301,17123
25917,22105,10409,46059,46059,4360,4256
13999,8763,34271,6289,6289,18058,1216
3419,25009,21120,1067,1067,15182,173
9111,20446,26525,835,835,5071,55654
2979,28664,20779,231,231,23998,14807
2421,10008,23348,53719,53719,22094,10236
3009,28494,20544,29034,29034,14734,687
777,10717,601,59106,59106,178,57130
672,23936,24022,29711,29711,46,27229
22703,5852,10943,2364,2364,25716,4366
9074,24188,21582,280,280,23684,418
1747,5789,9297,40983,40983,5706,274
7919,29920,26354,35625,35625,20760,40542
2408,7372,13470,426,426,18449,17435
1746,33039,30460,36774,36774,8096,4662
16914,8595,15960,35670,35670,26628,223
7534,31217,38640,963,963,15233,54266
3172,30998,27250,318,318,7876,9781
9371,31198,28101,47837,47837,12862,5357
2712,9864,15373,7530,7530,11188,168
1967,17953,15921,2757,2757,9300,114
7334,10144,12930,41672,41672,17350,52937
1978,19628,17979,28388,28388,16636,23828
1826,4786,8112,949,949,7220,3864
11522,16469,13658,209,209,40783,349
3191,5740,9564,164,164,27392,35603
2738,23679,21028,31641,31641,16620,25449
6597,4932,8447,26130,26130,426,3934
3546,30967,25319,41383,41383,17596,128
131,9296,17702,22184,22184,15626,27072
44,29320,21051,26809,26809,7276,14608
7195,10261,20329,25419,25419,29842,1140
2356,21116,16986,23034,23034,21344,133
140,7701,12325,22168,22168,8535,42740
42,26974,26066,30408,30408,60158,17552
2171,9788,12467,11009,11009,19501,4148
533,20065,20230,31008,31008,18343,241
51,4302,6321,29161,29161,75113,21826
15,21512,19641,167,167,26392,21663
7643,5316,8767,61500,61500,17537,4517
2663,38982,32593,9948,9948,54307,371
232,9880,19625,48249,48249,12351,49569
70,18997,16450,10840,10840,9598,30903
12356,4842,8597,44067,44067,294,4339
2841,18997,16450,32235,32235,64733,553
242,4842,8597,793,793,12190,50768
88,33001,27970,191,191,8336,31736
