US Election,GE11,GE12,GE13S,GE13,GE14,GE15
24,,,,,,16110
2212,,,,,,8511
849,,,,,,394
126,,,,,,29066
544,,,,,,14656
160,,,,,,6719
26,,,,,,289
18557,,,,,,22620
8883,,,,,,10396
1063,,,,,,9144
4506,,,,,,783
1017,,,,,,335
231,,,,,,231
1961,,,,,,13004
1859,,,,,,9967
187,,,,,,4013
2363,,,,,,3931
1236,,,,,,153
148,,,,,,10570
5346,,,,,,8052
1870,,,,,,7835
370,,,,,,2152
1300,,,,,,546
634,,,,,,143
82,,,,,,14459
11495,,,,,,9768
6490,,,,,,4834
788,,,,,,22606
4292,,,,,,11514
1263,,,,,,4254
171,,,,,,2657
1801,,,,,,1267
553,,,,,,23155
94,,,,,,15099
2497,,,,,,9598
1053,,,,,,7020
135,,,,,,10027
1546,,,,,,8919
468,,,,,,8625
101,,,,,,992
358,,,,,,86
89,,,,,,19623
13,,,,,,14211
2899,,,,,,1640
1182,,,,,,1512
167,,,,,,124
767,,,,,,11303
251,,,,,,9709
42,,,,,,4460
465,,,,,,3707
105,,,,,,155
15,,,,,,22969
48586,,,,,,10351
31152,,,,,,9185
4051,,,,,,826
3093,,,,,,659
757,,,,,,541
36,,,,,,12152
0,,,,,,7331
2181,,,,,,7218
662,,,,,,176
61,,,,,,160
0,,,,,,16673
3133,,,,,,5642
813,,,,,,5054
63,,,,,,2342
0,,,,,,962
552,,,,,,246
224,,,,,,16842
12,,,,,,12512
0,,,,,,27116
3796,,,,,,22740
1372,,,,,,28702
46,,,,,,7892
0,,,,,,1848
1808,,,,,,467
622,,,,,,19865
30,,,,,,16065
2,,,,,,11263
6426,,,,,,1776
2329,,,,,,1067
117,,,,,,651
8,,,,,,23855
3137,,,,,,14755
1185,,,,,,9398
53,,,,,,1681
0,,,,,,341
1065,,,,,,
440,,,,,,
18,,,,,,
4,,,,,,
1432,,,,,,
558,,,,,,
25,,,,,,
0,,,,,,
1451,,,,,,
529,,,,,,
39,,,,,,
0,,,,,,
276,,,,,,
162,,,,,,
7,,,,,,
0,,,,,,
1232,,,,,,
896,,,,,,
14,,,,,,
0,,,,,,
400,,,,,,
128,,,,,,
8,,,,,,
0,,,,,,
164,,,,,,
76,,,,,,
4,,,,,,
0,,,,,,
3657,,,,,,
2122,,,,,,
64,,,,,,
0,,,,,,
172,,,,,,
129,,,,,,
4,,,,,,
0,,,,,,
640,,,,,,
271,,,,,,
13,,,,,,
0,,,,,,
732,,,,,,
333,,,,,,
15,,,,,,
0,,,,,,
26,,,,,,
17,,,,,,
0,,,,,,
0,,,,,,
424,,,,,,
328,,,,,,
33,,,,,,
0,,,,,,
1073,,,,,,
595,,,,,,
15,,,,,,
0,,,,,,
2739,,,,,,
855,,,,,,
15,,,,,,
2,,,,,,
1858,,,,,,
567,,,,,,
36,,,,,,
5,,,,,,
584,,,,,,
526,,,,,,
12,,,,,,
0,,,,,,
1094,,,,,,
644,,,,,,
24,,,,,,
0,,,,,,
1387,,,,,,
493,,,,,,
10,,,,,,
0,,,,,,
2539,,,,,,
724,,,,,,
29,,,,,,
0,,,,,,
3218,,,,,,
1466,,,,,,
45,,,,,,
0,,,,,,
649,,,,,,
501,,,,,,
28,,,,,,
0,,,,,,
1282,,,,,,
1052,,,,,,
31,,,,,,
0,,,,,,
588,,,,,,
492,,,,,,
9,,,,,,
0,,,,,,
834,,,,,,
442,,,,,,
28,,,,,,
0,,,,,,
337,,,,,,
160,,,,,,
8,,,,,,
0,,,,,,
433,,,,,,
315,,,,,,
8,,,,,,
0,,,,,,
1099,,,,,,
713,,,,,,
38,,,,,,
0,,,,,,
1902,,,,,,
1055,,,,,,
56,,,,,,
0,,,,,,
6497,,,,,,
5966,,,,,,
245,,,,,,
13,,,,,,
683,,,,,,
540,,,,,,
26,,,,,,
0,,,,,,
284,,,,,,
196,,,,,,
8,,,,,,
0,,,,,,
223,,,,,,
208,,,,,,
6,,,,,,
0,,,,,,
485,,,,,,
198,,,,,,
17,,,,,,
0,,,,,,
2579,,,,,,
930,,,,,,
68,,,,,,
0,,,,,,
71,,,,,,
63,,,,,,
2,,,,,,
0,,,,,,
554,,,,,,
353,,,,,,
12,,,,,,
0,,,,,,
248,,,,,,
139,,,,,,
10,,,,,,
0,,,,,,
340,,,,,,
207,,,,,,
5,,,,,,
0,,,,,,
2404,,,,,,
1295,,,,,,
45,,,,,,
0,,,,,,
754,,,,,,
319,,,,,,
24,,,,,,
0,,,,,,
1282,,,,,,
998,,,,,,
42,,,,,,
0,,,,,,
630,,,,,,
467,,,,,,
14,,,,,,
0,,,,,,
1222,,,,,,
692,,,,,,
51,,,,,,
0,,,,,,
2547,,,,,,
1381,,,,,,
97,,,,,,
0,,,,,,
371,,,,,,
159,,,,,,
4,,,,,,
0,,,,,,
132,,,,,,
39,,,,,,
9,,,,,,
0,,,,,,
808,,,,,,
239,,,,,,
9,,,,,,
0,,,,,,
287,,,,,,
70,,,,,,
7,,,,,,
0,,,,,,
371,,,,,,
138,,,,,,
10,,,,,,
0,,,,,,
4,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
128,,,,,,
53,,,,,,
3,,,,,,
0,,,,,,
190,,,,,,
29,,,,,,
3,,,,,,
0,,,,,,
1066,,,,,,
566,,,,,,
29,,,,,,
1,,,,,,
489,,,,,,
162,,,,,,
6,,,,,,
0,,,,,,
1189,,,,,,
490,,,,,,
35,,,,,,
5,,,,,,
578,,,,,,
204,,,,,,
10,,,,,,
0,,,,,,
22,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
795,,,,,,
237,,,,,,
11,,,,,,
0,,,,,,
474,,,,,,
66,,,,,,
1,,,,,,
0,,,,,,
143,,,,,,
128,,,,,,
1,,,,,,
0,,,,,,
160,,,,,,
85,,,,,,
3,,,,,,
0,,,,,,
227,,,,,,
61,,,,,,
4,,,,,,
0,,,,,,
326,,,,,,
65,,,,,,
2,,,,,,
0,,,,,,
199,,,,,,
90,,,,,,
7,,,,,,
0,,,,,,
15,,,,,,
3,,,,,,
2,,,,,,
0,,,,,,
888,,,,,,
400,,,,,,
14,,,,,,
0,,,,,,
775,,,,,,
267,,,,,,
26,,,,,,
0,,,,,,
792,,,,,,
382,,,,,,
19,,,,,,
0,,,,,,
431,,,,,,
171,,,,,,
11,,,,,,
0,,,,,,
179,,,,,,
46,,,,,,
8,,,,,,
0,,,,,,
910,,,,,,
694,,,,,,
35,,,,,,
0,,,,,,
607,,,,,,
231,,,,,,
9,,,,,,
1,,,,,,
1317,,,,,,
495,,,,,,
28,,,,,,
6,,,,,,
1358,,,,,,
713,,,,,,
36,,,,,,
0,,,,,,
1291,,,,,,
741,,,,,,
24,,,,,,
0,,,,,,
153,,,,,,
71,,,,,,
5,,,,,,
0,,,,,,
127,,,,,,
98,,,,,,
8,,,,,,
0,,,,,,
43,,,,,,
32,,,,,,
1,,,,,,
0,,,,,,
1513,,,,,,
1184,,,,,,
40,,,,,,
0,,,,,,
418,,,,,,
379,,,,,,
9,,,,,,
0,,,,,,
544,,,,,,
213,,,,,,
21,,,,,,
0,,,,,,
277,,,,,,
90,,,,,,
8,,,,,,
0,,,,,,
5020,,,,,,
1742,,,,,,
76,,,,,,
0,,,,,,
1516,,,,,,
560,,,,,,
34,,,,,,
0,,,,,,
390,,,,,,
122,,,,,,
4,,,,,,
1,,,,,,
843,,,,,,
618,,,,,,
14,,,,,,
0,,,,,,
178,,,,,,
79,,,,,,
2,,,,,,
0,,,,,,
4335,,,,,,
3394,,,,,,
108,,,,,,
0,,,,,,
630,,,,,,
265,,,,,,
12,,,,,,
0,,,,,,
553,,,,,,
223,,,,,,
12,,,,,,
2,,,,,,
2130,,,,,,
925,,,,,,
43,,,,,,
0,,,,,,
252,,,,,,
118,,,,,,
9,,,,,,
0,,,,,,
869,,,,,,
397,,,,,,
7,,,,,,
0,,,,,,
378,,,,,,
148,,,,,,
9,,,,,,
0,,,,,,
127,,,,,,
57,,,,,,
7,,,,,,
0,,,,,,
415,,,,,,
399,,,,,,
9,,,,,,
0,,,,,,
282,,,,,,
151,,,,,,
6,,,,,,
0,,,,,,
1690,,,,,,
1530,,,,,,
94,,,,,,
0,,,,,,
644,,,,,,
281,,,,,,
18,,,,,,
0,,,,,,
247,,,,,,
231,,,,,,
4,,,,,,
0,,,,,,
1087,,,,,,
573,,,,,,
29,,,,,,
0,,,,,,
339,,,,,,
123,,,,,,
14,,,,,,
0,,,,,,
222,,,,,,
142,,,,,,
4,,,,,,
0,,,,,,
444,,,,,,
155,,,,,,
14,,,,,,
5,,,,,,
568,,,,,,
263,,,,,,
21,,,,,,
0,,,,,,
4960,,,,,,
2913,,,,,,
105,,,,,,
0,,,,,,
1006,,,,,,
535,,,,,,
24,,,,,,
2,,,,,,
10493,,,,,,
4077,,,,,,
98,,,,,,
0,,,,,,
521,,,,,,
279,,,,,,
21,,,,,,
1,,,,,,
2445,,,,,,
1101,,,,,,
50,,,,,,
0,,,,,,
836,,,,,,
292,,,,,,
16,,,,,,
0,,,,,,
706,,,,,,
400,,,,,,
23,,,,,,
0,,,,,,
7284,,,,,,
2714,,,,,,
123,,,,,,
0,,,,,,
636,,,,,,
357,,,,,,
8,,,,,,
0,,,,,,
721,,,,,,
305,,,,,,
25,,,,,,
0,,,,,,
658,,,,,,
605,,,,,,
13,,,,,,
0,,,,,,
2214,,,,,,
955,,,,,,
61,,,,,,
0,,,,,,
3582,,,,,,
2005,,,,,,
56,,,,,,
0,,,,,,
10546,,,,,,
3726,,,,,,
175,,,,,,
7,,,,,,
4064,,,,,,
1210,,,,,,
72,,,,,,
0,,,,,,
742,,,,,,
370,,,,,,
21,,,,,,
0,,,,,,
32454,,,,,,
16609,,,,,,
1040,,,,,,
0,,,,,,
672,,,,,,
253,,,,,,
23,,,,,,
1,,,,,,
11474,,,,,,
4835,,,,,,
263,,,,,,
0,,,,,,
6121,,,,,,
2609,,,,,,
149,,,,,,
0,,,,,,
1062,,,,,,
673,,,,,,
21,,,,,,
0,,,,,,
26741,,,,,,
17056,,,,,,
735,,,,,,
0,,,,,,
2737,,,,,,
1102,,,,,,
44,,,,,,
4,,,,,,
2479,,,,,,
586,,,,,,
50,,,,,,
0,,,,,,
6609,,,,,,
2020,,,,,,
124,,,,,,
0,,,,,,
2355,,,,,,
1906,,,,,,
55,,,,,,
0,,,,,,
161,,,,,,
107,,,,,,
4,,,,,,
0,,,,,,
574,,,,,,
360,,,,,,
12,,,,,,
0,,,,,,
4174,,,,,,
1248,,,,,,
72,,,,,,
2,,,,,,
1528,,,,,,
881,,,,,,
37,,,,,,
0,,,,,,
100,,,,,,
23,,,,,,
4,,,,,,
0,,,,,,
1674,,,,,,
556,,,,,,
40,,,,,,
0,,,,,,
945,,,,,,
623,,,,,,
14,,,,,,
5,,,,,,
1427,,,,,,
557,,,,,,
39,,,,,,
0,,,,,,
3436,,,,,,
2031,,,,,,
39,,,,,,
0,,,,,,
674,,,,,,
363,,,,,,
21,,,,,,
3,,,,,,
993,,,,,,
707,,,,,,
27,,,,,,
0,,,,,,
1249,,,,,,
451,,,,,,
23,,,,,,
3,,,,,,
12245,,,,,,
10972,,,,,,
297,,,,,,
7,,,,,,
525,,,,,,
182,,,,,,
17,,,,,,
0,,,,,,
1449,,,,,,
547,,,,,,
20,,,,,,
0,,,,,,
2228,,,,,,
636,,,,,,
43,,,,,,
0,,,,,,
2923,,,,,,
1104,,,,,,
52,,,,,,
10,,,,,,
1596,,,,,,
1002,,,,,,
61,,,,,,
0,,,,,,
486,,,,,,
133,,,,,,
13,,,,,,
1,,,,,,
6282,,,,,,
2159,,,,,,
86,,,,,,
0,,,,,,
2094,,,,,,
2026,,,,,,
38,,,,,,
0,,,,,,
2763,,,,,,
890,,,,,,
61,,,,,,
6,,,,,,
1087,,,,,,
543,,,,,,
17,,,,,,
0,,,,,,
1710,,,,,,
1390,,,,,,
22,,,,,,
1,,,,,,
1912,,,,,,
666,,,,,,
50,,,,,,
0,,,,,,
2948,,,,,,
1302,,,,,,
52,,,,,,
0,,,,,,
1588,,,,,,
455,,,,,,
36,,,,,,
0,,,,,,
656,,,,,,
249,,,,,,
14,,,,,,
0,,,,,,
815,,,,,,
520,,,,,,
16,,,,,,
0,,,,,,
1144,,,,,,
760,,,,,,
27,,,,,,
0,,,,,,
861,,,,,,
357,,,,,,
10,,,,,,
0,,,,,,
556,,,,,,
391,,,,,,
10,,,,,,
0,,,,,,
3749,,,,,,
1283,,,,,,
45,,,,,,
0,,,,,,
3058,,,,,,
778,,,,,,
47,,,,,,
0,,,,,,
1945,,,,,,
893,,,,,,
32,,,,,,
0,,,,,,
2143,,,,,,
568,,,,,,
48,,,,,,
5,,,,,,
2562,,,,,,
820,,,,,,
43,,,,,,
0,,,,,,
2106,,,,,,
621,,,,,,
56,,,,,,
0,,,,,,
2338,,,,,,
808,,,,,,
47,,,,,,
1,,,,,,
12519,,,,,,
4967,,,,,,
235,,,,,,
0,,,,,,
1194,,,,,,
449,,,,,,
19,,,,,,
0,,,,,,
3106,,,,,,
1146,,,,,,
54,,,,,,
0,,,,,,
5443,,,,,,
4660,,,,,,
109,,,,,,
3,,,,,,
2154,,,,,,
635,,,,,,
37,,,,,,
0,,,,,,
1855,,,,,,
1009,,,,,,
18,,,,,,
0,,,,,,
4361,,,,,,
1403,,,,,,
55,,,,,,
10,,,,,,
7674,,,,,,
3598,,,,,,
140,,,,,,
0,,,,,,
1206,,,,,,
469,,,,,,
15,,,,,,
0,,,,,,
1001,,,,,,
520,,,,,,
20,,,,,,
0,,,,,,
2966,,,,,,
1054,,,,,,
40,,,,,,
4,,,,,,
11303,,,,,,
4302,,,,,,
152,,,,,,
0,,,,,,
508,,,,,,
402,,,,,,
7,,,,,,
1,,,,,,
825,,,,,,
414,,,,,,
13,,,,,,
0,,,,,,
426,,,,,,
204,,,,,,
5,,,,,,
0,,,,,,
3150,,,,,,
2644,,,,,,
108,,,,,,
0,,,,,,
2123,,,,,,
789,,,,,,
52,,,,,,
0,,,,,,
2250,,,,,,
1158,,,,,,
31,,,,,,
1,,,,,,
1967,,,,,,
807,,,,,,
46,,,,,,
9,,,,,,
2381,,,,,,
1056,,,,,,
52,,,,,,
0,,,,,,
3162,,,,,,
1296,,,,,,
75,,,,,,
4,,,,,,
7350,,,,,,
6861,,,,,,
178,,,,,,
0,,,,,,
4494,,,,,,
1328,,,,,,
83,,,,,,
0,,,,,,
2638,,,,,,
1757,,,,,,
28,,,,,,
4,,,,,,
13202,,,,,,
4289,,,,,,
162,,,,,,
0,,,,,,
2919,,,,,,
967,,,,,,
67,,,,,,
0,,,,,,
3665,,,,,,
1144,,,,,,
77,,,,,,
0,,,,,,
420,,,,,,
215,,,,,,
9,,,,,,
0,,,,,,
3377,,,,,,
2026,,,,,,
34,,,,,,
0,,,,,,
7241,,,,,,
2403,,,,,,
98,,,,,,
0,,,,,,
3964,,,,,,
1901,,,,,,
67,,,,,,
0,,,,,,
10214,,,,,,
8411,,,,,,
324,,,,,,
43,,,,,,
4332,,,,,,
3020,,,,,,
143,,,,,,
0,,,,,,
2541,,,,,,
789,,,,,,
69,,,,,,
9,,,,,,
1579,,,,,,
1325,,,,,,
18,,,,,,
0,,,,,,
697,,,,,,
557,,,,,,
32,,,,,,
2,,,,,,
815,,,,,,
210,,,,,,
7,,,,,,
0,,,,,,
1904,,,,,,
552,,,,,,
55,,,,,,
0,,,,,,
1411,,,,,,
392,,,,,,
28,,,,,,
2,,,,,,
11705,,,,,,
4682,,,,,,
307,,,,,,
17,,,,,,
1086,,,,,,
607,,,,,,
24,,,,,,
0,,,,,,
3708,,,,,,
2222,,,,,,
92,,,,,,
0,,,,,,
1898,,,,,,
811,,,,,,
39,,,,,,
2,,,,,,
325,,,,,,
229,,,,,,
8,,,,,,
0,,,,,,
1692,,,,,,
712,,,,,,
52,,,,,,
0,,,,,,
3829,,,,,,
1793,,,,,,
122,,,,,,
0,,,,,,
660,,,,,,
468,,,,,,
13,,,,,,
0,,,,,,
400,,,,,,
96,,,,,,
8,,,,,,
0,,,,,,
349,,,,,,
118,,,,,,
9,,,,,,
0,,,,,,
1210,,,,,,
1158,,,,,,
25,,,,,,
0,,,,,,
263,,,,,,
139,,,,,,
6,,,,,,
0,,,,,,
552,,,,,,
145,,,,,,
11,,,,,,
0,,,,,,
2332,,,,,,
716,,,,,,
48,,,,,,
0,,,,,,
823,,,,,,
817,,,,,,
14,,,,,,
0,,,,,,
569,,,,,,
298,,,,,,
13,,,,,,
0,,,,,,
1617,,,,,,
764,,,,,,
31,,,,,,
0,,,,,,
674,,,,,,
189,,,,,,
14,,,,,,
0,,,,,,
577,,,,,,
207,,,,,,
12,,,,,,
0,,,,,,
42918,,,,,,
41979,,,,,,
756,,,,,,
282,,,,,,
14980,,,,,,
4980,,,,,,
152,,,,,,
75,,,,,,
4085,,,,,,
1929,,,,,,
47,,,,,,
23,,,,,,
6116,,,,,,
4977,,,,,,
75,,,,,,
38,,,,,,
10622,,,,,,
4967,,,,,,
128,,,,,,
60,,,,,,
6894,,,,,,
2407,,,,,,
90,,,,,,
26,,,,,,
15710,,,,,,
10291,,,,,,
152,,,,,,
79,,,,,,
6080,,,,,,
3654,,,,,,
41,,,,,,
13,,,,,,
9096,,,,,,
7784,,,,,,
105,,,,,,
48,,,,,,
51703,,,,,,
36818,,,,,,
850,,,,,,
410,,,,,,
99395,,,,,,
58153,,,,,,
2272,,,,,,
622,,,,,,
28898,,,,,,
15028,,,,,,
364,,,,,,
169,,,,,,
59682,,,,,,
54665,,,,,,
1484,,,,,,
506,,,,,,
30234,,,,,,
11926,,,,,,
368,,,,,,
145,,,,,,
4200,,,,,,
1600,,,,,,
87,,,,,,
26,,,,,,
28689,,,,,,
13293,,,,,,
388,,,,,,
154,,,,,,
6634,,,,,,
5285,,,,,,
69,,,,,,
32,,,,,,
53802,,,,,,
28267,,,,,,
828,,,,,,
351,,,,,,
28128,,,,,,
19937,,,,,,
364,,,,,,
115,,,,,,
12349,,,,,,
3772,,,,,,
171,,,,,,
59,,,,,,
4308,,,,,,
3399,,,,,,
43,,,,,,
15,,,,,,
4994,,,,,,
1761,,,,,,
69,,,,,,
34,,,,,,
32031,,,,,,
18549,,,,,,
399,,,,,,
145,,,,,,
15713,,,,,,
10309,,,,,,
139,,,,,,
84,,,,,,
29614,,,,,,
22436,,,,,,
584,,,,,,
222,,,,,,
88278,,,,,,
55197,,,,,,
2168,,,,,,
850,,,,,,
11293,,,,,,
4382,,,,,,
255,,,,,,
95,,,,,,
13151,,,,,,
10485,,,,,,
290,,,,,,
94,,,,,,
60771,,,,,,
26598,,,,,,
796,,,,,,
265,,,,,,
17104,,,,,,
7904,,,,,,
200,,,,,,
70,,,,,,
13295,,,,,,
9164,,,,,,
119,,,,,,
62,,,,,,
147110,,,,,,
29989,,,,,,
1955,,,,,,
541,,,,,,
16786,,,,,,
8487,,,,,,
108,,,,,,
68,,,,,,
118663,,,,,,
78475,,,,,,
2345,,,,,,
841,,,,,,
19400,,,,,,
17427,,,,,,
385,,,,,,
133,,,,,,
69158,,,,,,
44074,,,,,,
1213,,,,,,
474,,,,,,
3163,,,,,,
2679,,,,,,
52,,,,,,
39,,,,,,
3489,,,,,,
1104,,,,,,
36,,,,,,
15,,,,,,
15756,,,,,,
15411,,,,,,
281,,,,,,
100,,,,,,
4678,,,,,,
3991,,,,,,
44,,,,,,
22,,,,,,
180160,,,,,,
97973,,,,,,
3305,,,,,,
1154,,,,,,
16098,,,,,,
9403,,,,,,
132,,,,,,
65,,,,,,
33049,,,,,,
23987,,,,,,
771,,,,,,
275,,,,,,
21185,,,,,,
14779,,,,,,
374,,,,,,
121,,,,,,
38028,,,,,,
29144,,,,,,
758,,,,,,
260,,,,,,
7212,,,,,,
3282,,,,,,
49,,,,,,
25,,,,,,
12597,,,,,,
8475,,,,,,
344,,,,,,
112,,,,,,
1351,,,,,,
1111,,,,,,
15,,,,,,
6,,,,,,
63962,,,,,,
36375,,,,,,
1227,,,,,,
433,,,,,,
10519,,,,,,
10406,,,,,,
320,,,,,,
101,,,,,,
64310,,,,,,
45165,,,,,,
1137,,,,,,
462,,,,,,
3128,,,,,,
2333,,,,,,
35,,,,,,
16,,,,,,
14937,,,,,,
13522,,,,,,
285,,,,,,
117,,,,,,
14208,,,,,,
13906,,,,,,
176,,,,,,
58,,,,,,
34711,,,,,,
14730,,,,,,
449,,,,,,
218,,,,,,
15761,,,,,,
6851,,,,,,
203,,,,,,
85,,,,,,
13333,,,,,,
7062,,,,,,
200,,,,,,
89,,,,,,
7352,,,,,,
5489,,,,,,
154,,,,,,
56,,,,,,
6277,,,,,,
6154,,,,,,
52,,,,,,
30,,,,,,
382726,,,,,,
171123,,,,,,
8145,,,,,,
2439,,,,,,
6827,,,,,,
2090,,,,,,
59,,,,,,
25,,,,,,
7622,,,,,,
5069,,,,,,
96,,,,,,
39,,,,,,
34311,,,,,,
22974,,,,,,
610,,,,,,
232,,,,,,
27692,,,,,,
24062,,,,,,
306,,,,,,
134,,,,,,
69554,,,,,,
59305,,,,,,
1845,,,,,,
572,,,,,,
6313,,,,,,
3689,,,,,,
52,,,,,,
30,,,,,,
43838,,,,,,
25653,,,,,,
1454,,,,,,
533,,,,,,
65042,,,,,,
18810,,,,,,
787,,,,,,
176,,,,,,
4672,,,,,,
2881,,,,,,
48,,,,,,
25,,,,,,
10061,,,,,,
9449,,,,,,
207,,,,,,
94,,,,,,
20854,,,,,,
12599,,,,,,
398,,,,,,
154,,,,,,
4756,,,,,,
2637,,,,,,
58,,,,,,
20,,,,,,
12296,,,,,,
9301,,,,,,
142,,,,,,
70,,,,,,
48995,,,,,,
37210,,,,,,
898,,,,,,
285,,,,,,
7280,,,,,,
4863,,,,,,
114,,,,,,
42,,,,,,
53176,,,,,,
18929,,,,,,
555,,,,,,
253,,,,,,
10740,,,,,,
9622,,,,,,
183,,,,,,
86,,,,,,
23888,,,,,,
22281,,,,,,
280,,,,,,
141,,,,,,
28891,,,,,,
18197,,,,,,
415,,,,,,
149,,,,,,
46676,,,,,,
25473,,,,,,
750,,,,,,
320,,,,,,
23437,,,,,,
10469,,,,,,
249,,,,,,
121,,,,,,
16404,,,,,,
11890,,,,,,
174,,,,,,
70,,,,,,
7671,,,,,,
6821,,,,,,
94,,,,,,
61,,,,,,
24022,,,,,,
9413,,,,,,
264,,,,,,
117,,,,,,
18849,,,,,,
6567,,,,,,
200,,,,,,
65,,,,,,
25366,,,,,,
10872,,,,,,
265,,,,,,
96,,,,,,
3847,,,,,,
3043,,,,,,
107,,,,,,
32,,,,,,
10800,,,,,,
9226,,,,,,
230,,,,,,
69,,,,,,
975,,,,,,
811,,,,,,
9,,,,,,
7,,,,,,
77305,,,,,,
51306,,,,,,
1371,,,,,,
489,,,,,,
13160,,,,,,
7608,,,,,,
130,,,,,,
52,,,,,,
410386,,,,,,
209183,,,,,,
7928,,,,,,
2176,,,,,,
6716,,,,,,
3497,,,,,,
61,,,,,,
21,,,,,,
3531,,,,,,
2623,,,,,,
24,,,,,,
13,,,,,,
17642,,,,,,
13790,,,,,,
482,,,,,,
126,,,,,,
29056,,,,,,
25589,,,,,,
447,,,,,,
224,,,,,,
25469,,,,,,
9537,,,,,,
250,,,,,,
94,,,,,,
22014,,,,,,
18305,,,,,,
262,,,,,,
104,,,,,,
14910,,,,,,
4777,,,,,,
159,,,,,,
54,,,,,,
7105,,,,,,
4147,,,,,,
83,,,,,,
39,,,,,,
1000,,,,,,
163,,,,,,
40,,,,,,
3775,,,,,,
1366,,,,,,
173,,,,,,
1098,,,,,,
708,,,,,,
61,,,,,,
442,,,,,,
57,,,,,,
28,,,,,,
2653,,,,,,
588,,,,,,
93,,,,,,
1254,,,,,,
171,,,,,,
53,,,,,,
860,,,,,,
129,,,,,,
43,,,,,,
31067,,,,,,
12064,,,,,,
2385,,,,,,
50649,,,,,,
31055,,,,,,
2737,,,,,,
1551,,,,,,
343,,,,,,
55,,,,,,
1791,,,,,,
479,,,,,,
72,,,,,,
918,,,,,,
200,,,,,,
40,,,,,,
1711,,,,,,
280,,,,,,
99,,,,,,
847,,,,,,
307,,,,,,
37,,,,,,
1375,,,,,,
225,,,,,,
98,,,,,,
1317,,,,,,
290,,,,,,
58,,,,,,
792,,,,,,
105,,,,,,
46,,,,,,
19150,,,,,,
10006,,,,,,
955,,,,,,
964,,,,,,
171,,,,,,
71,,,,,,
924,,,,,,
247,,,,,,
33,,,,,,
923,,,,,,
153,,,,,,
65,,,,,,
928,,,,,,
215,,,,,,
75,,,,,,
1666,,,,,,
391,,,,,,
69,,,,,,
739,,,,,,
109,,,,,,
54,,,,,,
2211,,,,,,
447,,,,,,
136,,,,,,
1109,,,,,,
201,,,,,,
64,,,,,,
4305,,,,,,
659,,,,,,
192,,,,,,
3466,,,,,,
1094,,,,,,
305,,,,,,
3352,,,,,,
591,,,,,,
175,,,,,,
10254,,,,,,
3341,,,,,,
865,,,,,,
2691,,,,,,
1072,,,,,,
170,,,,,,
1192,,,,,,
504,,,,,,
40,,,,,,
741,,,,,,
123,,,,,,
44,,,,,,
2451,,,,,,
625,,,,,,
91,,,,,,
1522,,,,,,
373,,,,,,
61,,,,,,
3761,,,,,,
1239,,,,,,
181,,,,,,
1603,,,,,,
693,,,,,,
97,,,,,,
1064,,,,,,
168,,,,,,
43,,,,,,
5458,,,,,,
1963,,,,,,
236,,,,,,
2151,,,,,,
1496,,,,,,
80,,,,,,
1414,,,,,,
571,,,,,,
53,,,,,,
516,,,,,,
101,,,,,,
43,,,,,,
667,,,,,,
340,,,,,,
77,,,,,,
329,,,,,,
40,,,,,,
16,,,,,,
10499,,,,,,
1977,,,,,,
754,,,,,,
714,,,,,,
333,,,,,,
24,,,,,,
7071,,,,,,
1992,,,,,,
395,,,,,,
861,,,,,,
234,,,,,,
30,,,,,,
2755,,,,,,
1201,,,,,,
96,,,,,,
3461,,,,,,
975,,,,,,
120,,,,,,
20295,,,,,,
5587,,,,,,
1262,,,,,,
1606,,,,,,
356,,,,,,
98,,,,,,
10548,,,,,,
1689,,,,,,
665,,,,,,
2468,,,,,,
291,,,,,,
102,,,,,,
55,,,,,,
48,,,,,,
20642,,,,,,
3507,,,,,,
1038,,,,,,
809,,,,,,
553,,,,,,
39952,,,,,,
12943,,,,,,
1948,,,,,,
882,,,,,,
835,,,,,,
6506,,,,,,
2091,,,,,,
271,,,,,,
155,,,,,,
0,,,,,,
469,,,,,,
91,,,,,,
15,,,,,,
10,,,,,,
6,,,,,,
115501,,,,,,
41101,,,,,,
6018,,,,,,
4374,,,,,,
1359,,,,,,
6096,,,,,,
893,,,,,,
739,,,,,,
308,,,,,,
210,,,,,,
3918,,,,,,
489,,,,,,
131,,,,,,
105,,,,,,
88,,,,,,
2123,,,,,,
428,,,,,,
73,,,,,,
21,,,,,,
2499,,,,,,
2303,,,,,,
158,,,,,,
56,,,,,,
36,,,,,,
17650,,,,,,
3854,,,,,,
1425,,,,,,
644,,,,,,
543,,,,,,
4606,,,,,,
470,,,,,,
230,,,,,,
219,,,,,,
211,,,,,,
2802,,,,,,
918,,,,,,
140,,,,,,
89,,,,,,
71,,,,,,
4528,,,,,,
594,,,,,,
519,,,,,,
183,,,,,,
168,,,,,,
5190,,,,,,
770,,,,,,
229,,,,,,
122,,,,,,
89,,,,,,
672,,,,,,
65,,,,,,
36,,,,,,
30,,,,,,
27,,,,,,
1081,,,,,,
158,,,,,,
51,,,,,,
28,,,,,,
16,,,,,,
266177,,,,,,
238249,,,,,,
16001,,,,,,
6137,,,,,,
2402,,,,,,
3477,,,,,,
2642,,,,,,
258,,,,,,
135,,,,,,
68,,,,,,
10326,,,,,,
1012,,,,,,
388,,,,,,
365,,,,,,
363,,,,,,
